Building Type,Tier,ShellMin,ShellMax,AllInMin,AllInMax,ArchShare,IntShare,LandShare,
High-End Custom Residential,1,250,300,400,500,0.6,0.25,0.15,
High-End Custom Residential,2,400,450,600,700,0.6,0.25,0.15,
High-End Custom Residential,3,500,550,800,900,0.6,0.25,0.15,
Mid-Range Standard Residential,1,150,120,300,320,0.66,0.22,0.12,
Mid-Range Standard Residential,2,120,135,340,360,0.66,0.22,0.12,
Mid-Range Standard Residential,3,135,150,380,400,0.66,0.22,0.12,
Hospitality (Hotel/Resort),1,275,320,400,500,0.6,0.3,0.1,
Hospitality (Hotel/Resort),2,320,380,500,600,0.6,0.3,0.1,
Hospitality (Hotel/Resort),3,380,420,600,700,0.6,0.3,0.1,
Commercial / Mixed-Use,1,100,160,150,250,0.7,0.2,0.1,
Commercial / Mixed-Use,2,160,240,250,330,0.7,0.2,0.1,
Commercial / Mixed-Use,3,240,300,330,400,0.7,0.2,0.1,
