Louis Amy Quote ,Calculation Formulas,//Notes to AI Agent Coder,,,,,,
Building Use,Residential,//Drop Drown Selection ,,,,,,
Building Type,Residence - Private,//Drop Drown Selection filtered by Building Type,,,,,,
Building Tier,Mid-Range Standard Residential,//Drop Drown Selection filtered by Building use selection,,,,,,
Category,Category 5,//Map Category by previous selections // Category 1 = 0.9 // Category 2 = 1.0 // Category 3 =1.1 // Category 4 = 1.2 // Category 5 = 1.3,,,,,,
Design Level,3,"//Map ""Design Level"" equals to "" Tier  (1,2,3)"" // 1=Basic Design // 2=Standard Design // 3=Full Design // map this to the databbase ""cost_ranges"" this afect construction cost and interior exterior and shell shares",,,,,,
New Building Area (ft²),4000,//New Construction,,,,,,
Existing Building Area (ft²),,//Reconstruction / Remodel,,,,,,
Site Area (m2),1000,//Use Site Area for Scan to Bim calculation,,,,,,
,,,,,,,,
,,,,,,,,
Multipliers,Selection,,,,,,,
Historic Property Multiplier,1,1,1.2,,,,,
Remodel Multiplier,0.5,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Key,"=B4 & ""|"" & B6",// Do not display,,,,,,
New Construction ,=B7/(B7+B8),//display with a dounugth chart,,,,,,
Existing to Remodel,=B8/(B7+B8),//display with a dougnuth chart,,,,,,
,,,,,,,,
New Construction Min $/ft²,"=VLOOKUP(B18, Cost_Ranges!$A$2:$J$13,6,FALSE)*B13",// minimum end (bracket)  of slider //Fixed ,,,,,,
Existing to Remodel Min $/ft²,=B22*B14,// minimum end (bracket)  of slider //Fixed ,,,,,,
,,,,,,,,
New Construction Target $/ft²,=(B22+B28)/2,// Average by default // Allow Overwrite by moving a dot on the slider ,,,,,,
Existing to Remodel Target $/ft²,=(B23+B29)/2,// Average by default // Allow Overwrite by moving a dot on the slider ,,,,,,
,,,,,,,,
New Construction  Max $/ft²,"=VLOOKUP(B18, Cost_Ranges!$A$2:$J$13,7,FALSE)*B13",// Max end (bracket)  of slider //Fixed ,,,,,,
Existing to Remodel Max $/ft²,=B28*B14,// Max end (bracket)  of slider //Fixed ,,,,,,
,,,,,,,,
,,,,,,,,
Total Budget ,=B33+B34,//Calculate,,,,,,
New Construction Budget ,=(B7) * B25,,,,,,,
Existing to Remodel Budget,=(B8) * B26,,,,,,,
,,,,,,,,
Project Shell  Share,"=VLOOKUP(B18, Cost_Ranges!$A$2:$J$13,8,FALSE)",//From database to set the default // Allow Overwrite with a slider,,,,,,
Project Interior Share,"=VLOOKUP(B18, Cost_Ranges!$A$2:$J$13,9,FALSE)",//From database to set the default // Allow Overwrite with a slider,,,,,,
Project Landscape Share,"=VLOOKUP(B18, Cost_Ranges!$A$2:$J$13,10,FALSE)",//From database to set the default // Allow Overwrite with a slider,,,,,,
,,,,,,,,
Building Shell Minimum Total Budget,=B41+B42,//Card,,,,,,
New Construction Shell Minimum Total Budget,=B33 * B36,Hidden inside - display number and graphically ,,,,,,
Existing to Remodel Shell Minimum Total Budget,=B34 * B36,Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Interior Minimum Budget,=B45+B46,//Card,,,,,,
New Construction Interior Minimum Total Budget,=B33*B37,Hidden inside - display number and graphically ,,,,,,
Existing to Remodel Interior Minimum Total Budget,=B34*B37,Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Landscape Minimum Budget,=B49+B50,//Card,,,,,,
New Construction Landscape Minimum Total Budget,=B33*B38,Hidden inside - display number and graphically ,,,,,,
Existing to Remodel Landscape Minimum Total Budget,=B34*B38,Hidden inside - display number and graphically ,,,,,,
,New construction Leverage,Existing to Remodel Leverage,,,,,,
Architectural Design Share,"=(1-(IFERROR(VLOOKUP($B$4 & ""|"" & $B$6 & ""|"" & ""Structural"", Engineering_Costs!$A$2:$I$55, 5, FALSE), 0)+IFERROR(VLOOKUP($B$4 & ""|"" & $B$6 & ""|"" & ""Civil & Site"", Engineering_Costs!$A$2:$I$55, 5, FALSE), 0)+IFERROR(VLOOKUP($B$4 & ""|"" & $B$6 & ""|"" & ""Mechanical"", Engineering_Costs!$A$2:$I$55, 5, FALSE), 0)+IFERROR(VLOOKUP($B$4 & ""|"" & $B$6 & ""|"" & ""Electrical"", Engineering_Costs!$A$2:$I$55, 5, FALSE), 0)+IFERROR(VLOOKUP($B$4 & ""|"" & $B$6 & ""|"" & ""Plumbing"", Engineering_Costs!$A$2:$I$55, 5, FALSE), 0)+IFERROR(VLOOKUP($B$4 & ""|"" & $B$6 & ""|"" & ""Low-Voltage"", Engineering_Costs!$A$2:$I$55, 5, FALSE), 0)))*$B$36",=1-SUM(C53:C60),,,,,,
Interior Design Share,=B37,=B53,,,,,,
Landscape Design Share,=B38,=B54,,,,,,
Structural Design Share,"= IFERROR(VLOOKUP($B$4 & ""|"" & $B$6 & ""|"" & ""Structural"", Engineering_Costs!$A$2:$I$55, 5, FALSE), 0)*$B$36",=B55*B14,,,,,,
Civil Design Share,"= IFERROR(VLOOKUP($B$4 & ""|"" & $B$6 & ""|"" & ""Civil & Site"", Engineering_Costs!$A$2:$I$55, 5, FALSE), 0)*$B$36",=B56,,,,,,
Mechanical Design Share,"=IFERROR(VLOOKUP($B$4 & ""|"" & $B$6 & ""|"" & ""Mechanical"", Engineering_Costs!$A$2:$I$55, 5, FALSE), 0)*$B$36",=B57,,,,,,
Electrical Design Share,"=IFERROR(VLOOKUP($B$4 & ""|"" & $B$6 & ""|"" & ""Electrical"", Engineering_Costs!$A$2:$I$55, 5, FALSE), 0)*$B$36",=B58,,,,,,
Plumbing Design Share,"=IFERROR(VLOOKUP($B$4 & ""|"" & $B$6 & ""|"" & ""Plumbing"", Engineering_Costs!$A$2:$I$55, 5, FALSE), 0)*$B$36",=B59,,,,,,
Telecomunication Design,"=IFERROR(VLOOKUP($B$4 & ""|"" & $B$6 & ""|"" & ""Low-Voltage"", Engineering_Costs!$A$2:$I$55, 5, FALSE), 0)*$B$36",=B60,,,,,,
,,,,,,,,
Architecture Budget,=B63+B64,// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction,=B33*B52,//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel,=B34*C52,//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Interior Budget,=B67+B68,// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction,=B45,//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel,=B46,//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Landscape Budget,=B71+B72,// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction,=B49,//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel,=B50,//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Structural Budget,=B75+B76,// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction,"=(B41*IFERROR(VLOOKUP($B$4 & ""|"" & $B$6 & ""|"" & ""Structural"", Engineering_Costs!$A$2:$I$55, 5, FALSE), 0))",//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel,"=(B42*IFERROR(VLOOKUP($B$4 & ""|"" & $B$6 & ""|"" & ""Structural"", Engineering_Costs!$A$2:$I$55, 5, FALSE), 0))*B14",//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Civil Budget,=B79+B80,// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction,"=(B41 * IFERROR(VLOOKUP($B$4 & ""|"" & $B$6 & ""|"" & ""Civil & Site"", Engineering_Costs!$A$2:$I$55, 5, FALSE), 0))",//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel,"=(B42 * IFERROR(VLOOKUP($B$4 & ""|"" & $B$6 & ""|"" & ""Civil & Site"", Engineering_Costs!$A$2:$I$55, 5, FALSE), 0))",//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Mechanical Budget,=B83+B84,// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction,"=(IFERROR(VLOOKUP($B$4 & ""|"" & $B$6 & ""|"" & ""Mechanical"", Engineering_Costs!$A$2:$I$55, 5, FALSE), 0))*B41",//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel,"=(IFERROR(VLOOKUP($B$4 & ""|"" & $B$6 & ""|"" & ""Mechanical"", Engineering_Costs!$A$2:$I$55, 5, FALSE), 0))*B42",//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Electrical Budget,=B87+B88,// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction,"=(IFERROR(VLOOKUP($B$4 & ""|"" & $B$6 & ""|"" & ""Electrical"", Engineering_Costs!$A$2:$I$55, 5, FALSE), 0))*B41",//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel,"=(IFERROR(VLOOKUP($B$4 & ""|"" & $B$6 & ""|"" & ""Electrical"", Engineering_Costs!$A$2:$I$55, 5, FALSE), 0))*B42",//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Plumbing Budget,=B91+B92,// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction,"=(IFERROR(VLOOKUP($B$4 & ""|"" & $B$6 & ""|"" & ""Plumbing"", Engineering_Costs!$A$2:$I$55, 5, FALSE), 0))*B41",//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel,"=(IFERROR(VLOOKUP($B$4 & ""|"" & $B$6 & ""|"" & ""Plumbing"", Engineering_Costs!$A$2:$I$55, 5, FALSE), 0))*B42",//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Telecomunication Budget,=B95+B96,// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction,"=(IFERROR(VLOOKUP($B$4 & ""|"" & $B$6 & ""|"" & ""Low-Voltage"", Engineering_Costs!$A$2:$I$55, 5, FALSE), 0))*B41",//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel,"=(IFERROR(VLOOKUP($B$4 & ""|"" & $B$6 & ""|"" & ""Low-Voltage"", Engineering_Costs!$A$2:$I$55, 5, FALSE), 0))*B42",//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Working Minimum Budget,=B62+B66+B70+B74+B78+B82+B86+B90+B94,,,,,,,
New Construction,=B63+B67+B71+B75+B79+B83+B87+B91+B95,Hidden inside - display number and graphically ,,,,,,
Existing to Remodel,=B64+B68+B72+B76+B80+B84+B88+B92+B96,Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Category Multiplier,1.3,// Do Not Display  // Base on Building Category ,,,,,,
Coordination Fee,0.15,,,,,,,
Markup,1,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Top Down Fee Analysis,=$B$94,,,,,,,
Scope,Percent of Project Cost %,Rate per sq-ft,Market Fee,Louis Amy Market Fee,Aproximate Hours,Cordination Fee,Consultants,
Scan to Bim - Building,,=(0.6+0.006*((1000+$B$8)/1000000)^(-0.7495))*B104,=C112*B8,=D112,=E112/$G$138,0,0,
Scan to Bim - Site,,=(1+0.00091*($B$9/1000000)^(-0.005))*B104/(3.28^2)+0.08,=C113*(B9*(3.28^2)),=D113,=E113/$G$138,0,0,
Architecture (Design + Consultant Admin.),=((((0.07498+0.007824*($B$40/1000000)^(-0.7495))*($B$104)*$B$99*0.95)+((0.07498+0.007824*($B$40/1000000)^(-0.7495))*($B$104)*$B$100*1.05))/$B$98)*(1+(1-$B$14)),=D114/($B$7+$B$8),=B114*B62,=D114,=E114/$G$138,0,0,
Interior design,=((((0.07498+0.007824*($B$48/1000000)^(-0.7495))*($B$104)*$B$99*0.95)+((0.07498+0.007824*($B$48/1000000)^(-0.7495))*($B$104)*$B$100*1.05))/$B$98)*(1+(1-$B$14)),=D115/($B$7+$B$8),=B115*B44,=D115,=E115/$G$138,0,0,
Landscape architecture,=((((0.07498+0.007824*($B$44/1000000)^(-0.7495))*($B$104)*$B$99*0.95)+((0.07498+0.007824*($B$44/1000000)^(-0.7495))*($B$104)*$B$100*1.05))/$B$98)*(1+(1-B14)),=D116/($B$7+$B$8),=B116*B48,=D116,=E116/$G$138,0,0,
Structural engineer,=(((0.07498+0.007824*($B$74/1000000)^(-0.7495))*($B$104)*$B$99*0.95)+((0.07498+0.007824*($B$74/1000000)^(-0.7495))*($B$104)*$B$100*1.05))/$B$98,=D117/($B$7+$B$8),=B117*B74,=D117,=E117/$G$138,0,0,
Civil / site engineer,=(((0.07498+0.007824*($B$78/1000000)^(-0.7495))*($B$104)*$B$99*0.95)+((0.07498+0.007824*($B$78/1000000)^(-0.7495))*($B$104)*$B$100*1.05))/$B$98,=D118/($B$7+$B$8),=B118*B78,=D118,=E118/$G$138,0,0,
